% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.746006059e+03 +3.746006059e+03 +3.742296059e+03 +3.742296059e+03 -3.2207e+00 -1.6858e+00 +1.9422e-01 +2.3181e+00 +4.8206e+00 +1.9844e+00 +2.4461e+00 +4.5547e+00 +3.3931e+00 +4.3216e+00 -4.8835e+00 -1.5689e+00 -8.3902e-01 -4.9854e+00 +4.2097e-01 +7.9650e-01 -2.5336e+00 -8.5496e-01 -3.0856e+00 +2.6235e+00
2 +1.985188253e+03 +1.985188253e+03 +1.981478253e+03 +1.981478253e+03 +2.0920e+00 +2.0699e+00 -1.2307e+00 -3.3108e+00 +4.9499e+00 -5.9063e-02 +8.2794e-01 -4.2518e+00 -4.0680e-01 -4.8055e+00 -4.4072e+00 -2.3399e+00 +6.9389e-01 -3.4890e+00 -3.2751e+00 -1.2187e+00 -1.9358e+00 +4.7819e+00 -2.7749e+00 +1.0436e+00
6 +1.365342677e+03 +1.365342677e+03 +1.361632677e+03 +1.361632677e+03 -2.6525e+00 +3.3723e+00 +4.5190e+00 -6.0942e-01 -3.7396e-01 +3.4176e+00 +3.3335e+00 +3.7140e+00 +2.8278e+00 +3.2844e+00 +8.3162e-01 -3.5278e+00 +3.5964e-01 +1.8071e+00 -4.4834e+00 -2.3664e+00 +1.3992e+00 -1.3581e+00 +1.7560e-01 -8.9973e-01
10 +8.622391711e+02 +8.622391711e+02 +8.585291711e+02 +8.585291711e+02 -3.8357e+00 +3.5608e+00 +4.2884e+00 -5.8418e-01 +2.0402e+00 -1.5094e+00 +1.6347e+00 -7.7301e-01 -2.7538e+00 +1.2188e+00 -6.4460e-01 -3.0325e+00 -2.1287e+00 +1.0781e+00 +7.7650e-01 -4.1663e+00 -4.3388e-01 -3.9510e-01 +9.7060e-01 -4.9651e+00
208 +5.908805450e+02 +5.908805450e+02 +5.871705450e+02 +5.871705450e+02 -1.1926e-01 +4.7987e-01 +4.8310e+00 -8.3290e-01 +1.5533e+00 -3.7583e-01 +1.3511e+00 +1.2162e+00 -3.4086e-01 +7.4996e-01 -1.3662e-01 -1.8393e+00 +2.4516e+00 -5.5416e-01 +2.2109e+00 -1.0340e+00 -1.2145e+00 -1.0825e-01 +2.6818e+00 -2.7948e+00
415 +3.974224713e+02 +3.974224713e+02 +3.937124713e+02 +3.937124713e+02 -4.7105e-01 +2.0293e+00 +4.8228e+00 +3.4134e+00 +3.6823e+00 +2.3333e+00 +2.4798e-01 +1.4081e+00 -9.7006e-01 +6.2234e-01 +4.3576e-01 +2.2718e+00 +4.4912e+00 -1.9271e-01 +1.4492e+00 -1.3951e+00 +2.0462e+00 +2.3869e-01 +4.6175e+00 -2.6128e+00
1606 +2.353362966e+02 +2.353362966e+02 +2.316262966e+02 +2.316262966e+02 +1.3919e+00 -4.5640e+00 +4.9997e+00 +3.9173e+00 +1.8845e+00 +3.6992e+00 -9.8996e-01 -2.1536e+00 -1.6650e+00 +5.9638e-01 +2.7499e+00 +1.1289e+00 +3.3029e+00 -4.2313e-01 +6.0170e-01 -3.1852e+00 +1.6978e+00 +7.7885e-01 +4.6170e+00 -3.4052e+00
3367 +1.496367902e+02 +1.496367902e+02 +1.459267902e+02 +1.459267902e+02 +3.1609e+00 +4.8477e-01 +4.9999e+00 +4.8410e+00 +3.3286e+00 +5.0000e+00 -4.9623e-01 -2.7487e+00 -5.0000e+00 -3.0944e-01 +3.7753e+00 +5.8416e-01 +3.1004e+00 -7.3246e-01 +5.7099e-01 -2.9363e+00 +6.7019e-01 +1.8335e+00 +4.2570e+00 -2.7890e+00
8018 +9.959991280e+01 +9.959991280e+01 +9.588991280e+01 +9.588991280e+01 +3.1026e+00 -3.2795e-01 +5.0000e+00 +4.8159e+00 +3.1727e+00 +5.0000e+00 -5.9701e-01 -2.7464e+00 -5.0000e+00 +6.7703e-01 +3.7102e+00 +5.9121e-01 +3.1626e+00 -5.7207e-01 +4.9582e-01 -3.6347e+00 +7.1575e-01 +1.8725e+00 +4.2855e+00 -2.8269e+00
