% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3 +4.078104573e+06 +4.078104573e+06 +4.079042413e+06 +4.079042413e+06 +3.4601e+00 -3.9851e+00 -1.3364e+00 -3.4943e+00 +3.4864e+00 -2.1271e+00 +2.7253e+00 -1.2746e+00 +4.3365e-01 +2.1864e+00 -2.9067e+00 +4.2585e+00 +3.3362e-01 +3.0701e+00 +1.2523e+00 +2.9409e-01 +1.0222e+00 +1.8551e+00 -1.6379e+00 +4.6943e+00
5 +2.041491396e+06 +2.041491396e+06 +2.042429236e+06 +2.042429236e+06 -4.1156e+00 -1.1098e+00 -4.7354e+00 -3.7605e+00 +1.4979e+00 -4.5667e+00 +4.5508e+00 -4.6230e+00 -1.7614e+00 -2.4812e-01 +1.8756e+00 +3.0712e+00 +1.1320e+00 +4.8166e-01 +1.4281e+00 +4.4217e+00 +4.2910e+00 +8.2896e-01 -1.8178e+00 +3.1338e+00
6 +3.337329666e+02 +3.337329666e+02 +1.271572967e+03 +1.271572967e+03 +1.1548e+00 +1.7601e+00 -4.9247e+00 +1.6117e+00 +1.4177e+00 +1.8558e+00 +1.1615e-02 -4.4654e+00 -3.1047e-01 -2.8102e+00 +1.3655e-01 +2.6633e+00 -4.7922e+00 +2.4758e+00 +3.5036e+00 -2.4833e-01 +9.4990e-02 +3.8663e+00 -2.3513e+00 -2.2271e+00
3882 +2.441024092e+02 +2.441024092e+02 +1.181942409e+03 +1.181942409e+03 +6.9285e-01 +1.2317e+00 -4.4253e+00 +6.9036e-01 +1.6140e+00 +3.5503e+00 -2.9189e-01 -4.7264e+00 -1.7299e+00 -1.3944e+00 +4.1336e-01 +1.8694e+00 -4.6022e+00 +2.9780e+00 +3.0506e+00 -7.1713e-01 +4.4644e-01 +7.9164e-01 -5.4283e-01 -1.0951e+00
10761 +1.499454262e+02 +1.499454262e+02 +1.087785426e+03 +1.087785426e+03 -3.7690e-01 +1.0960e+00 +0.0000e+00 -5.2785e-01 -5.3893e-01 +3.6643e+00 +1.2011e-01 -3.6108e+00 +5.6386e-01 -1.7631e+00 -1.4228e-01 +1.3207e+00 -4.4529e+00 -2.0778e+00 +2.8472e+00 -4.3952e-01 +4.7012e-01 +9.3080e-02 -5.7410e-01 +0.0000e+00
43073 +8.581551352e+01 +8.581551352e+01 +1.023655514e+03 +1.023655514e+03 +2.9836e-01 +2.3719e-01 +2.6068e+00 +8.5184e-02 -4.6668e-01 +3.8030e+00 +5.6486e-02 +0.0000e+00 +3.6462e+00 -1.4221e+00 -1.4684e+00 +3.9346e-01 -1.9056e+00 -6.9711e-01 +2.8649e+00 +1.1087e+00 +1.7523e+00 -1.6309e+00 -1.5736e+00 -4.3671e-01
49461 +6.068968959e+01 +6.068968959e+01 +9.985296896e+02 +9.985296896e+02 +6.1703e-01 +1.1730e+00 +3.1176e+00 +7.7697e-01 -5.5516e-01 +3.9022e+00 +4.8098e-01 -5.8770e-02 +2.8733e+00 -8.4267e-01 -9.6710e-01 -1.4673e-02 -4.6253e+00 -8.3884e-01 +1.2926e+00 +1.9844e+00 +9.9307e-01 -4.6343e+00 -1.0114e+00 -7.1825e-01
% function evaluation | noise-free fitness - Fopt (-7.872000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.360464596e+07 +1.360464596e+07 +1.360456724e+07 +1.360456724e+07 +3.6937e-01 +2.9002e+00 -6.8754e-01 -4.7871e+00 -1.3948e+00 +1.9048e+00 -9.4732e-01 +5.9636e-01 +3.9632e+00 +3.2670e+00 +7.3027e-01 -3.0898e-01 +7.4972e-01 +4.7910e+00 +3.9441e+00 -1.5080e+00 -3.9937e+00 -3.5935e+00 +4.3511e-01 -4.8314e+00
4 +7.335106403e+06 +7.335106403e+06 +7.335027683e+06 +7.335027683e+06 -1.9806e+00 -3.6107e+00 +1.1071e+00 -4.9767e+00 +3.0853e+00 -2.4043e+00 +1.2244e+00 -3.9958e+00 +2.0000e+00 +2.5959e+00 +1.1681e-01 +1.2570e-01 +3.6723e+00 -6.6552e-01 -5.3188e-01 +1.7524e+00 +2.7578e+00 +4.0700e+00 +3.1282e+00 +3.8808e+00
7 +2.106441796e+06 +2.106441796e+06 +2.106363076e+06 +2.106363076e+06 -4.9734e+00 +7.5749e-01 -3.8473e+00 -2.7082e+00 +1.6873e+00 -2.8767e+00 -2.3317e+00 +2.3520e+00 +1.2395e+00 -2.7379e+00 -3.7875e+00 -2.8070e-01 -3.2387e+00 -3.1722e+00 +8.6789e-01 -3.0682e+00 +3.8147e+00 +4.2101e+00 +4.9771e+00 +3.9078e-01
9 +9.641552319e+05 +9.641552319e+05 +9.640765119e+05 +9.640765119e+05 +3.0105e+00 -3.1745e+00 +2.4304e+00 -2.2795e+00 +1.8157e+00 +4.0177e+00 +2.7885e+00 -2.4515e+00 -2.8533e+00 +3.9430e+00 -9.5459e-01 -3.0545e+00 +4.0491e+00 +1.3420e+00 +8.8731e-01 +1.1944e+00 +4.4849e+00 +2.8063e+00 +4.2675e+00 +4.4328e+00
12 +5.210294301e+05 +5.210294301e+05 +5.209507101e+05 +5.209507101e+05 -1.5116e-01 +4.8490e-01 -3.4583e+00 +2.9999e+00 +4.4950e+00 +2.6827e+00 +2.6356e+00 -2.2249e+00 -4.1540e+00 -1.7747e+00 +3.5389e+00 -2.6116e+00 -3.8568e+00 +4.6700e-01 +3.4994e+00 +2.3799e+00 -1.6985e+00 -2.8222e+00 -1.5125e-01 -4.0806e+00
18 +4.528765329e+03 +4.528765329e+03 +4.450045329e+03 +4.450045329e+03 +4.4770e+00 -8.3244e-02 +1.9953e-01 +3.5814e+00 +2.1585e+00 +4.6525e-01 -2.8305e+00 +2.3054e+00 +4.7650e+00 -3.1934e-02 -3.9243e+00 -4.2121e-01 +3.0189e+00 -4.7030e+00 +4.5311e+00 +5.3375e-02 +3.6810e+00 +3.7265e+00 +4.7263e-02 -3.3278e+00
