% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
4301 +6.202620316e+01 +6.202620316e+01 +5.831620316e+01 +5.831620316e+01 +1.0859e-01 -4.0967e+00 -9.6764e-01 +3.1552e+00 +3.1476e+00 +2.8120e+00 -6.3337e-01 -1.3547e+00 +1.6518e+00 +6.4172e-01 +3.1099e+00 +2.0399e+00 +3.1156e+00 -1.7129e+00 +4.6834e-01 -4.1337e+00 +6.9649e-01 +1.1577e+00 +2.8086e+00 -2.9143e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.173045591e+04 +1.173045591e+04 +1.186263591e+04 +1.186263591e+04 +2.8207e+00 -1.0411e+00 -4.5491e+00 +4.7107e+00 -3.5822e+00 +9.5536e-01 +4.0317e+00 +3.6298e+00 -1.6257e+00 -4.8433e+00 +3.8917e+00 -4.6694e-01 +6.3999e-01 +2.9029e+00 +4.4848e+00 -1.9252e+00 +5.7764e-01 +3.0285e+00 +4.1013e+00 -2.6077e+00
2 +8.844756887e+03 +8.844756887e+03 +8.976936887e+03 +8.976936887e+03 +2.0959e+00 -3.4860e+00 +9.0206e-02 +9.7107e-01 -4.2936e+00 +1.2776e+00 +3.7076e+00 +1.8745e+00 +4.5771e+00 -4.7002e+00 +1.7117e+00 -2.4781e+00 +3.9172e+00 -4.3777e-01 -1.1523e+00 +1.0676e+00 -2.5927e+00 -2.9185e+00 +8.7100e-01 +2.0425e+00
3 +4.883954727e+03 +4.883954727e+03 +5.016134727e+03 +5.016134727e+03 -2.8695e+00 -7.1601e-01 +2.3955e+00 -9.2327e-01 +4.9243e+00 +4.4355e+00 +1.9529e+00 +3.6110e+00 -1.6426e+00 -2.2128e+00 +2.9275e+00 -2.7452e+00 +2.5976e+00 +1.8304e+00 -2.5835e+00 +1.1936e-01 -1.8413e+00 -1.3698e+00 -3.3177e+00 +5.3415e-01
6 +1.197115999e+03 +1.197115999e+03 +1.329295999e+03 +1.329295999e+03 -8.9990e-01 -4.3035e+00 +3.9678e+00 -4.5292e+00 +1.8746e-01 +1.4059e+00 +2.6230e+00 -1.2919e+00 -3.5145e+00 -2.1206e+00 -4.1422e+00 +4.2263e+00 +6.3216e-01 +3.1984e-01 +2.9505e+00 -3.1881e+00 -1.1855e-01 -2.1984e+00 +7.9769e-01 -3.5860e+00
32 +8.440543627e+02 +8.440543627e+02 +9.762343627e+02 +9.762343627e+02 -1.1343e-01 +1.2263e+00 +1.7888e+00 +5.4306e-01 -2.6922e+00 -3.4949e+00 +9.7139e-01 +3.6668e+00 +2.6784e-01 -7.5061e-01 -2.5318e+00 +1.8963e+00 -4.5935e+00 +2.4444e+00 -2.7361e-01 +1.9468e+00 -3.0448e+00 -3.2065e-01 +9.6585e-01 +3.4611e+00
122 +5.328766759e+02 +5.328766759e+02 +6.650566759e+02 +6.650566759e+02 +3.4686e-01 +0.0000e+00 +3.5054e+00 +1.8986e+00 -2.1119e+00 -1.8630e+00 -6.5720e-02 +2.9950e+00 -5.0127e-01 -1.9132e-01 -6.7441e-01 +0.0000e+00 +0.0000e+00 +2.6486e+00 +1.8479e+00 +3.7257e+00 -1.5534e+00 +2.6783e+00 +6.4072e-01 +3.8950e+00
632 +3.512293899e+02 +3.512293899e+02 +4.834093899e+02 +4.834093899e+02 +9.0674e-01 +2.3243e+00 +0.0000e+00 -1.6423e+00 +2.7218e+00 +7.3960e-01 -1.1526e-02 -1.4747e+00 -1.5804e+00 -2.0543e+00 +0.0000e+00 +3.8818e+00 -1.0215e+00 +4.5222e+00 +2.1950e+00 +2.4437e+00 +1.8508e-01 +3.0300e+00 +9.0814e-01 +1.1474e+00
2056 +2.494737374e+02 +2.494737374e+02 +3.816537374e+02 +3.816537374e+02 +2.7056e+00 +1.5538e+00 +2.1405e+00 -3.7064e+00 -2.3341e-01 +9.0530e-01 +1.0493e+00 +4.6184e-02 +2.0051e-02 -1.3543e+00 +8.3553e-01 +2.6131e+00 -7.0691e-01 +3.2286e+00 +3.6266e+00 +3.3331e+00 +9.7985e-01 +3.8170e+00 +2.7697e-01 +3.4391e-01
