% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
16454 +5.899243291e-06 +5.899243291e-06 +7.948000590e+01 +7.948000590e+01 +2.5306e-01 -1.1573e+00 -7.2387e-01 +1.9264e+00 -2.6798e+00 +4.3830e-01 -1.1637e-01 +1.2111e-01 -1.6374e+00 -3.0508e+00 -3.8549e+00 +2.0157e+00 +1.0866e+00 -8.6555e-02 +3.6471e+00 +2.9086e+00 -1.2519e-01 -3.9278e+00 +2.3626e+00 +1.3584e+00
16869 +3.937254874e-06 +3.937254874e-06 +7.948000394e+01 +7.948000394e+01 +2.5178e-01 -1.1566e+00 -7.2316e-01 +1.9269e+00 -2.6801e+00 +4.3870e-01 -1.1681e-01 +1.2010e-01 -1.6377e+00 -3.0507e+00 -3.8540e+00 +2.0156e+00 +1.0866e+00 -8.6912e-02 +3.6472e+00 +2.9091e+00 -1.2451e-01 -3.9278e+00 +2.3627e+00 +1.3582e+00
17591 +1.873803257e-06 +1.873803257e-06 +7.948000187e+01 +7.948000187e+01 +2.5306e-01 -1.1572e+00 -7.2454e-01 +1.9265e+00 -2.6809e+00 +4.3915e-01 -1.1720e-01 +1.2025e-01 -1.6375e+00 -3.0512e+00 -3.8538e+00 +2.0160e+00 +1.0868e+00 -8.6418e-02 +3.6468e+00 +2.9086e+00 -1.2403e-01 -3.9278e+00 +2.3622e+00 +1.3582e+00
18266 +1.369128725e-06 +1.369128725e-06 +7.948000137e+01 +7.948000137e+01 +2.5313e-01 -1.1568e+00 -7.2451e-01 +1.9269e+00 -2.6807e+00 +4.3925e-01 -1.1716e-01 +1.1976e-01 -1.6375e+00 -3.0512e+00 -3.8538e+00 +2.0159e+00 +1.0868e+00 -8.6456e-02 +3.6470e+00 +2.9085e+00 -1.2483e-01 -3.9278e+00 +2.3621e+00 +1.3580e+00
19288 +9.703430948e-07 +9.703430948e-07 +7.948000097e+01 +7.948000097e+01 +2.5309e-01 -1.1568e+00 -7.2451e-01 +1.9268e+00 -2.6806e+00 +4.3906e-01 -1.1714e-01 +1.1987e-01 -1.6374e+00 -3.0512e+00 -3.8538e+00 +2.0159e+00 +1.0866e+00 -8.6426e-02 +3.6471e+00 +2.9087e+00 -1.2479e-01 -3.9278e+00 +2.3622e+00 +1.3582e+00
19884 +6.234483294e-07 +6.234483294e-07 +7.948000062e+01 +7.948000062e+01 +2.5277e-01 -1.1568e+00 -7.2407e-01 +1.9268e+00 -2.6807e+00 +4.3908e-01 -1.1717e-01 +1.1985e-01 -1.6378e+00 -3.0512e+00 -3.8538e+00 +2.0158e+00 +1.0865e+00 -8.6465e-02 +3.6474e+00 +2.9085e+00 -1.2478e-01 -3.9278e+00 +2.3624e+00 +1.3584e+00
20764 +3.946600060e-07 +3.946600060e-07 +7.948000039e+01 +7.948000039e+01 +2.5277e-01 -1.1568e+00 -7.2387e-01 +1.9263e+00 -2.6807e+00 +4.3911e-01 -1.1716e-01 +1.1988e-01 -1.6376e+00 -3.0512e+00 -3.8538e+00 +2.0158e+00 +1.0865e+00 -8.6313e-02 +3.6474e+00 +2.9086e+00 -1.2485e-01 -3.9279e+00 +2.3623e+00 +1.3582e+00
21124 +2.414433311e-07 +2.414433311e-07 +7.948000024e+01 +7.948000024e+01 +2.5293e-01 -1.1568e+00 -7.2400e-01 +1.9264e+00 -2.6807e+00 +4.3919e-01 -1.1702e-01 +1.1988e-01 -1.6374e+00 -3.0512e+00 -3.8538e+00 +2.0158e+00 +1.0863e+00 -8.6278e-02 +3.6473e+00 +2.9087e+00 -1.2478e-01 -3.9279e+00 +2.3623e+00 +1.3585e+00
21739 +1.486773726e-07 +1.486773726e-07 +7.948000015e+01 +7.948000015e+01 +2.5288e-01 -1.1568e+00 -7.2394e-01 +1.9265e+00 -2.6807e+00 +4.3926e-01 -1.1694e-01 +1.1989e-01 -1.6375e+00 -3.0512e+00 -3.8538e+00 +2.0160e+00 +1.0863e+00 -8.6449e-02 +3.6473e+00 +2.9087e+00 -1.2476e-01 -3.9279e+00 +2.3624e+00 +1.3585e+00
22239 +9.742963414e-08 +9.742963414e-08 +7.948000010e+01 +7.948000010e+01 +2.5285e-01 -1.1568e+00 -7.2393e-01 +1.9264e+00 -2.6807e+00 +4.3924e-01 -1.1672e-01 +1.1989e-01 -1.6375e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0863e+00 -8.6441e-02 +3.6473e+00 +2.9087e+00 -1.2475e-01 -3.9279e+00 +2.3625e+00 +1.3585e+00
22639 +6.129461383e-08 +6.129461383e-08 +7.948000006e+01 +7.948000006e+01 +2.5287e-01 -1.1567e+00 -7.2393e-01 +1.9265e+00 -2.6808e+00 +4.3915e-01 -1.1681e-01 +1.1989e-01 -1.6375e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0863e+00 -8.6480e-02 +3.6472e+00 +2.9088e+00 -1.2475e-01 -3.9280e+00 +2.3624e+00 +1.3585e+00
23379 +3.799981130e-08 +3.799981130e-08 +7.948000004e+01 +7.948000004e+01 +2.5281e-01 -1.1567e+00 -7.2396e-01 +1.9264e+00 -2.6808e+00 +4.3914e-01 -1.1681e-01 +1.1989e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0863e+00 -8.6409e-02 +3.6472e+00 +2.9088e+00 -1.2477e-01 -3.9280e+00 +2.3624e+00 +1.3585e+00
23979 +2.492564022e-08 +2.492564022e-08 +7.948000002e+01 +7.948000002e+01 +2.5279e-01 -1.1568e+00 -7.2400e-01 +1.9264e+00 -2.6808e+00 +4.3914e-01 -1.1681e-01 +1.1989e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6362e-02 +3.6472e+00 +2.9088e+00 -1.2479e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
