% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
50 +3.844250843e+01 +3.844250843e+01 -1.283474916e+02 -1.283474916e+02 +2.1345e+00 +3.4202e+00 -2.4308e-01 +7.2634e-01 -4.4793e-01 +3.1976e+00 -4.7845e+00 +2.3575e+00 -4.0728e+00 -1.5096e-01 +3.5018e+00 +3.6929e+00 -2.9728e+00 +2.1618e-01 -4.8394e+00 -2.8734e+00 +8.6707e-01 -3.6659e+00 -8.2473e-01 -2.2864e+00
2896 +2.473375656e+01 +2.473375656e+01 -1.420562434e+02 -1.420562434e+02 -3.2032e+00 +5.0000e+00 +0.0000e+00 +1.1369e+00 -1.4746e+00 -5.0000e+00 +0.0000e+00 -9.4724e-02 +3.0464e-01 -5.0000e+00 +4.1191e+00 +5.0000e+00 +5.0000e+00 -1.9886e+00 +4.4581e+00 -4.2462e+00 -3.8939e+00 -4.2597e+00 -3.3428e-01 +5.0000e+00
4729 +1.456739669e+01 +1.456739669e+01 -1.522226033e+02 -1.522226033e+02 -4.6122e-01 +1.0020e+00 -4.9291e-01 +7.3600e-01 -1.5965e+00 +8.1478e-01 +3.9954e+00 +2.9021e+00 +2.5595e+00 -2.6186e+00 +9.0903e-01 -1.8028e+00 -3.6971e+00 -1.7917e+00 -2.4726e-01 -2.9158e+00 +1.5271e+00 -3.4822e+00 -3.7975e+00 +3.8530e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.484574641e+01 +7.484574641e+01 +1.074845746e+03 +1.074845746e+03 -7.7249e-01 -2.9772e+00 +2.1392e+00 -8.2158e-01 -1.7385e+00 -2.6339e+00 +2.8104e+00 -2.9724e+00 +1.8961e+00 +1.5336e+00 -4.8451e+00 +4.2682e+00 +3.9780e+00 +4.7399e+00 +2.1487e+00 -3.6550e-01 +8.4763e-01 -3.4374e+00 +3.8022e+00 -8.0359e-01
10 +5.115434785e+01 +5.115434785e+01 +1.051154348e+03 +1.051154348e+03 +4.0416e+00 -1.7146e+00 +2.2650e+00 +2.3387e+00 -1.6873e+00 +1.6562e+00 +5.5491e-01 -2.6102e+00 +3.9094e+00 -1.9758e+00 -4.0556e+00 +1.1451e+00 -2.7086e-01 +3.0363e+00 +2.9794e+00 +1.4827e+00 +3.4829e+00 +3.2515e+00 -8.0678e-01 -3.4129e+00
117 +3.853260910e+01 +3.853260910e+01 +1.038532609e+03 +1.038532609e+03 +2.8944e+00 -2.5870e+00 +1.8697e+00 +1.9386e+00 -2.3441e+00 +1.7614e+00 -9.2039e-01 -3.0602e+00 +1.5517e-01 -5.0000e+00 +1.6829e+00 +1.2585e+00 +2.8402e+00 +4.3737e+00 +1.0683e+00 +3.5886e+00 +5.9669e-01 +1.5474e+00 -5.0000e+00 -5.4139e-01
14962 +2.445126377e+01 +2.445126377e+01 +1.024451264e+03 +1.024451264e+03 -1.6365e-01 +5.5663e-01 +1.0268e+00 +4.3364e+00 +4.8886e+00 -5.0000e+00 -4.3286e+00 -4.6676e+00 -4.9346e+00 -2.5101e+00 -4.9912e+00 -1.5255e+00 +8.5876e-01 +2.9161e+00 +5.0000e+00 -1.6296e+00 -3.5995e+00 -2.3077e+00 -1.7206e+00 -4.2212e+00
% function evaluation | noise-free fitness - Fopt (-1.847000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.845832417e+01 +7.845832417e+01 +5.998832417e+01 +5.998832417e+01 -9.3139e-02 -4.4309e+00 -2.5570e+00 +3.0065e+00 -1.3453e+00 -2.9687e-01 +5.4896e-01 -4.4777e+00 +4.6270e-01 +1.7356e+00 -6.1278e-01 +2.6883e+00 -3.9238e+00 +3.7184e+00 +4.7244e+00 +2.4849e+00 +2.8703e+00 +3.0747e+00 +4.7518e+00 +3.4727e+00
