% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
4 +4.036381616e+01 +4.036381616e+01 +1.258381616e+01 +1.258381616e+01 +3.9135e+00 -3.9462e+00 +4.4680e+00 -7.7006e-01 -4.3785e+00 +2.5324e+00 -3.5234e+00 +4.6537e-01 +4.2968e+00 -8.0061e-01 +1.2902e+00 +4.3437e+00 +4.9517e+00 -1.6260e-01 +3.8427e-01 -4.6683e+00 -1.1836e+00 +3.7418e+00 +2.4808e+00 -4.7050e+00
107 +3.751694955e+01 +3.751694955e+01 +9.736949549e+00 +9.736949549e+00 +4.2379e+00 +4.6700e+00 -2.9618e+00 -4.6963e+00 -1.0137e+00 -2.5959e+00 +1.2964e-01 +4.8667e+00 -3.7108e+00 -1.4733e+00 +2.9210e+00 -9.6556e-01 -1.6473e+00 -2.6193e+00 -2.3967e+00 -5.4942e-01 +2.1821e+00 -1.4178e-01 +6.8881e-01 -4.6687e-01
4785 +2.368645082e+01 +2.368645082e+01 -4.093549181e+00 -4.093549181e+00 -1.8720e-01 -1.6581e+00 +1.9281e-01 +3.7178e-01 -3.1923e+00 +4.4248e+00 +2.5524e+00 -4.2050e+00 +9.3342e-01 -4.9479e+00 +4.7764e+00 -4.9948e+00 -3.1036e+00 -2.3670e+00 +4.7540e+00 +2.9373e+00 +4.0554e+00 +2.1409e+00 +6.2529e-01 -4.7906e+00
26159 +1.523119308e+01 +1.523119308e+01 -1.254880692e+01 -1.254880692e+01 +1.2022e+00 -1.6795e+00 +3.9035e-02 +2.6807e+00 +3.0164e+00 +1.5286e+00 +1.5547e-01 +4.2098e-01 -4.7731e+00 +8.9345e-01 -1.0515e+00 -1.4704e+00 -2.5006e+00 -1.0643e+00 -1.8978e+00 -2.4932e+00 -2.1301e+00 +3.5497e-01 -3.4103e+00 +1.9939e+00
32676 +9.850857819e+00 +9.850857819e+00 -1.792914218e+01 -1.792914218e+01 -2.3927e+00 +1.9580e+00 -4.0670e-01 +5.0701e-01 +4.9671e+00 +1.4244e+00 +1.5547e-01 -1.6135e-01 -4.6514e+00 +4.5002e+00 +1.7558e+00 +6.9302e-01 +2.5747e+00 +4.6487e+00 +3.2260e+00 +1.4894e+00 +2.7556e+00 -3.7941e+00 -7.3562e-01 -3.5825e+00
45510 +6.218269090e+00 +6.218269090e+00 -2.156173091e+01 -2.156173091e+01 -2.4005e+00 +1.9580e+00 -4.0670e-01 +5.0311e-01 +4.9983e+00 +1.4244e+00 +1.5547e-01 -3.8010e-01 -4.6514e+00 +4.6017e+00 +1.7558e+00 +6.3051e-01 +2.6466e+00 +4.5081e+00 +3.2416e+00 +1.4894e+00 +2.7556e+00 -3.9191e+00 -7.3562e-01 -3.5823e+00
% function evaluation | noise-free fitness - Fopt (-4.871000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.108906669e+01 +7.108906669e+01 +2.237906669e+01 +2.237906669e+01 +4.7118e+00 -2.2272e+00 -1.8288e+00 +4.3682e+00 +3.7631e+00 -5.8969e-01 -1.5152e+00 -7.3366e-01 +2.2135e+00 -5.4476e-01 -1.0329e+00 +3.8129e+00 -4.6533e-01 +3.9767e+00 -4.4408e+00 -4.6191e+00 +6.9169e-01 -3.2092e+00 -8.3213e-01 +3.5882e+00
3 +6.293438409e+01 +6.293438409e+01 +1.422438409e+01 +1.422438409e+01 +1.6835e+00 +2.8637e+00 +4.3330e-01 -4.4978e+00 -1.8232e+00 -2.4171e+00 -2.3933e+00 -2.1786e+00 +3.2192e+00 -5.4208e-01 -4.7664e+00 -6.9666e-01 +4.1969e+00 +1.0955e+00 +2.3095e+00 +1.3499e+00 +2.5010e+00 -3.0220e-01 -7.8989e-01 +2.0036e+00
110 +3.588416675e+01 +3.588416675e+01 -1.282583325e+01 -1.282583325e+01 +2.9299e-01 -2.5641e+00 +3.6514e+00 +1.5167e+00 +4.6931e-01 -4.5527e+00 -8.2157e-01 +1.8171e-01 +3.7936e-02 +3.4653e+00 +4.3509e+00 -2.4654e+00 -1.1243e+00 -3.3729e+00 +2.6213e+00 -3.5992e+00 +2.6964e-01 +4.1179e+00 -4.3314e-01 +3.3089e+00
6470 +2.279607701e+01 +2.279607701e+01 -2.591392299e+01 -2.591392299e+01 -2.3589e+00 -4.7607e+00 -2.5238e+00 +3.8897e+00 -2.8308e+00 +4.8346e+00 -4.9900e+00 +4.1516e-02 -3.5605e+00 +4.1020e+00 -8.9335e-01 -1.0303e+00 -3.5689e+00 +2.6954e+00 +4.0621e+00 -4.5597e+00 +4.0827e+00 +1.2401e+00 -2.0803e+00 +3.3621e+00
28507 +1.573596016e+01 +1.573596016e+01 -3.297403984e+01 -3.297403984e+01 +7.9309e-01 +3.8517e-01 -1.1613e+00 -3.3361e+00 -1.9820e+00 +3.4548e+00 +3.7368e+00 -1.0005e+00 -1.2126e+00 -3.1529e+00 +8.1840e-01 +8.6877e-01 -2.6074e+00 -4.8683e+00 -1.0503e+00 +4.7800e+00 +1.3802e+00 +3.2828e-02 +3.2515e-01 +2.5147e+00
40041 +9.492725836e+00 +9.492725836e+00 -3.921727416e+01 -3.921727416e+01 +7.9302e-01 +3.8517e-01 -1.1692e+00 -3.3361e+00 -1.9820e+00 +3.2038e+00 +3.7586e+00 -1.0786e+00 -1.7438e+00 -3.6530e+00 +6.9340e-01 +6.0504e-01 -2.6074e+00 -4.8683e+00 -1.0484e+00 +4.7722e+00 +1.6527e+00 -9.5328e-02 +3.1734e-01 +2.5147e+00
% function evaluation | noise-free fitness - Fopt (-1.667900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
