% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
100 +3.592712748e+02 +3.592712748e+02 -1.788387252e+02 -1.788387252e+02 +1.3391e+00 +1.5034e+00 +2.0724e+00 +9.2289e-01 -1.9203e+00 +2.2124e+00 +6.2774e-01 -1.4406e+00 -1.5251e+00 +2.6260e-02 -5.2767e-01 +1.1132e+00 +2.0400e+00 +0.0000e+00 -9.0029e-01 +9.8764e-01 -7.6835e-01 -6.9264e-01 -3.1858e-01 +2.1488e+00
288 +2.469422764e+02 +2.469422764e+02 -2.911677236e+02 -2.911677236e+02 +1.8290e+00 -6.4012e-01 +8.6475e-01 +1.3534e+00 +2.6076e-01 +3.3230e+00 -7.2008e-01 +1.8247e-01 -1.2186e-01 +4.5050e-01 +1.4319e+00 +3.5286e+00 -2.2275e-02 +1.6010e+00 -1.6222e+00 +1.3504e+00 -1.6492e+00 +8.6433e-01 -4.1443e-01 -1.6358e-01
4100 +1.158563281e+02 +1.158563281e+02 -4.222536719e+02 -4.222536719e+02 +7.8668e-01 +2.5327e+00 +1.1913e+00 +1.0212e+00 +1.3367e+00 +2.4453e-01 -8.7350e-01 +2.4892e-02 -5.7219e-01 -2.1209e+00 +1.5048e+00 +2.1369e+00 +1.5303e+00 +6.9564e-01 -1.0628e+00 +1.7357e+00 -1.9507e+00 +1.8942e+00 -1.5086e+00 -1.1789e+00
29820 +9.476573777e+01 +9.476573777e+01 -4.433442622e+02 -4.433442622e+02 +7.7790e-01 +2.5314e+00 +1.2483e+00 +1.0092e+00 +1.3376e+00 +2.6771e-01 -9.0315e-01 +2.6281e-02 -5.7266e-01 -2.1323e+00 +1.5261e+00 +2.1368e+00 +1.5305e+00 +6.9312e-01 -1.0650e+00 +1.7384e+00 -1.9473e+00 +1.8646e+00 -1.5142e+00 -1.1825e+00
% function evaluation | noise-free fitness - Fopt (7.478200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.260478117e+02 +8.260478117e+02 +1.573867812e+03 +1.573867812e+03 +2.7644e-01 -1.8720e+00 -4.2672e+00 -3.3936e+00 -1.8627e+00 +4.4632e+00 +7.9098e-01 +4.3459e+00 -3.1020e+00 +8.2324e-01 -2.7500e+00 -4.0076e-01 -3.8241e+00 -4.4135e+00 -3.0852e+00 +3.3216e-01 +4.7048e+00 -4.1144e+00 -2.5524e+00 -1.4215e+00
2 +6.229046386e+02 +6.229046386e+02 +1.370724639e+03 +1.370724639e+03 -9.5505e-01 -2.0408e+00 +3.1248e+00 -4.1755e-01 +1.7059e+00 -1.8653e+00 -1.8106e+00 +1.0558e+00 +2.4747e+00 -5.4406e-01 -5.8093e-01 -4.9124e+00 -2.0561e+00 -1.8049e+00 -4.7835e+00 -2.5403e-01 +3.2912e+00 -1.2424e+00 +1.1755e+00 -1.6001e+00
171 +3.613931670e+02 +3.613931670e+02 +1.109213167e+03 +1.109213167e+03 -5.5238e-01 +1.6837e+00 +1.7411e+00 +0.0000e+00 -1.1285e+00 +0.0000e+00 -7.1180e-01 -1.4591e+00 -1.5670e+00 +1.3837e+00 -1.7560e+00 -5.9803e-01 +1.5736e+00 -1.8834e+00 +2.4945e+00 -2.8461e+00 -3.3432e+00 -2.7348e-01 -6.9253e-01 -8.2873e-01
769 +2.415756185e+02 +2.415756185e+02 +9.893956185e+02 +9.893956185e+02 +5.0529e-01 -7.4631e-01 -2.2383e-02 -1.0166e+00 +1.0151e+00 -2.8519e-01 +3.1566e+00 +5.8675e-01 -8.0683e-01 +2.0507e+00 -2.5108e+00 +8.3493e-01 +2.6948e+00 -7.6245e-01 +2.9678e+00 -3.3978e+00 -1.0242e+00 -2.0556e+00 -2.7276e+00 -1.7899e+00
25585 +1.515698508e+02 +1.515698508e+02 +8.993898508e+02 +8.993898508e+02 -1.3996e+00 -1.2119e+00 -2.1783e+00 -1.5124e+00 +1.1429e+00 -5.1392e-01 -4.7986e-02 -3.6616e-01 -1.4508e-01 +1.2570e+00 -2.3383e+00 +2.1587e+00 +3.1409e+00 -6.1428e-01 -3.8280e-01 -7.5057e-01 -9.7663e-01 -1.5366e+00 -2.3284e+00 -1.5026e+00
