% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5 +2.384279697e+06 +2.384279697e+06 +2.384109497e+06 +2.384109497e+06 -2.4473e+00 +1.0072e+00 -3.3300e+00 +2.1013e+00 +3.9333e+00 +2.7951e+00 +4.9217e+00 +4.0079e+00 -3.0889e+00 -3.9714e+00 -2.6865e+00 -2.4431e+00 +1.7033e+00 -3.6020e+00 -2.1271e+00 -2.6195e+00 -9.9918e-02 +1.4562e+00 +1.0689e+00 +4.9995e+00
706 +1.059818218e+06 +1.059818218e+06 +1.059648018e+06 +1.059648018e+06 +1.7970e+01 +7.0621e+00 +1.2661e+00 +2.9858e+00 +9.5362e+00 +1.6839e+00 +1.6076e-01 +5.1925e+00 +1.0683e+01 +1.2730e+01 +1.8036e+00 +1.2117e+01 -1.3912e+00 +1.9019e-03 -2.6657e+00 -4.7831e+00 -4.9756e+00 +5.6227e+00 +3.5068e+00 +8.1081e-01
754 +9.788815152e+05 +9.788815152e+05 +9.787113152e+05 +9.787113152e+05 +1.1628e+01 -1.2284e+01 +5.0844e-01 +5.3716e+00 +1.8128e+00 +3.1236e+00 +6.4970e+00 +3.6169e+00 +1.6215e+00 +1.2692e+01 +2.8946e+00 +1.3971e+01 -1.7944e+00 -6.8302e+00 +5.9413e+00 +1.9962e+00 +3.8789e-01 +1.1932e+01 -6.9271e-01 -7.1469e+00
1656 +4.700441189e+05 +4.700441189e+05 +4.698739189e+05 +4.698739189e+05 +8.6763e+00 -1.1823e+01 +3.8610e+00 +4.2683e+00 +2.5872e+00 -4.1450e-01 +5.9285e+00 +1.3323e+00 -1.7841e+00 +1.0209e+01 -1.3266e-01 +4.3946e+00 +5.7963e+00 +6.3721e+00 +2.0656e+00 +1.2151e+00 -1.1672e+00 +1.7809e+00 -2.0194e+00 -1.3096e+00
2109 +3.709882356e+05 +3.709882356e+05 +3.708180356e+05 +3.708180356e+05 +2.0479e+00 -3.9355e+00 +3.5731e+00 +1.5637e+00 +7.6620e+00 -4.4294e+00 +5.9139e+00 -1.8279e+00 -6.5994e+00 +1.4853e+00 +2.3235e+00 -2.0688e+00 +3.2693e+00 +4.1880e+00 +1.1834e+00 -2.2743e+00 -1.8129e+00 +1.6008e+00 -1.0612e+00 +1.5601e+00
2802 +2.441250025e+05 +2.441250025e+05 +2.439548025e+05 +2.439548025e+05 -2.2330e+00 -8.0665e+00 +1.3171e+00 -1.4654e+00 +5.3183e+00 -2.3695e+00 +1.9369e+00 -2.5180e+00 -3.5288e+00 +5.8787e-01 +3.9554e+00 -2.0089e+00 -1.3255e+00 +4.6778e+00 +3.7095e+00 -2.6536e+00 -5.1419e-01 +1.8688e+00 +2.1006e+00 +3.7230e+00
3836 +1.505362069e+05 +1.505362069e+05 +1.503660069e+05 +1.503660069e+05 -1.7374e+00 -8.5958e+00 +2.5760e+00 +2.3189e+00 +8.5162e+00 -5.4738e+00 +8.1033e+00 +2.2122e+00 -3.9285e+00 -4.6231e-01 +6.7947e+00 -3.5673e+00 +3.7180e+00 +5.0500e+00 -1.4638e-01 +1.7445e+00 +3.6512e-01 +2.0301e+00 +7.7359e-01 +1.4559e+00
4292 +8.987429499e+04 +8.987429499e+04 +8.970409499e+04 +8.970409499e+04 +6.0483e+00 -1.2000e+01 +7.2836e+00 +5.4023e-01 +7.2291e+00 -3.2687e-01 +4.4938e+00 -4.5931e+00 -2.2048e+00 +7.3458e+00 +1.3763e+00 +7.3058e+00 -8.1424e-01 -1.3700e+00 +2.9239e+00 +2.1633e+00 -3.9288e+00 +3.7945e+00 -3.4403e-01 -2.1584e+00
% function evaluation | noise-free fitness - Fopt (-4.697500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.551471885e+07 +1.551471885e+07 +1.551424910e+07 +1.551424910e+07 -3.6975e+00 -2.3105e+00 +1.6831e+00 -2.9249e+00 -2.5106e-01 +4.6828e+00 -2.7492e+00 +3.7117e+00 +4.9593e+00 -6.9128e-01 -3.9371e+00 +2.4877e+00 +3.8727e+00 +1.6406e+00 -3.2502e+00 -2.2693e+00 +4.8560e+00 -4.9818e+00 +1.3302e+00 -2.5414e+00
2 +2.858778029e+06 +2.858778029e+06 +2.858308279e+06 +2.858308279e+06 +4.4928e+00 -2.6563e+00 +2.4033e-01 -1.1419e+00 +5.8364e-01 +2.5949e+00 -2.3593e+00 -1.8465e+00 -1.7473e+00 +3.5479e+00 -2.5280e+00 -3.3097e+00 +2.4266e+00 +8.7612e-01 +3.4317e+00 +1.0359e+00 -3.0881e+00 -2.4489e+00 +3.7203e+00 -8.7134e-01
