% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
56 +9.582431739e+02 +9.582431739e+02 +1.041573174e+03 +1.041573174e+03 -3.5931e+00 +7.7351e-01 +3.7210e+00 +4.1194e+00 +4.5750e+00 -4.7142e-01 +4.3247e+00 -1.7312e+00 -1.4144e+00 -3.4509e+00 +1.7562e+00 +4.4841e-01 +1.9693e+00 -3.9218e+00 +4.2915e+00 -3.2158e+00 -2.7816e-01 +8.2117e-01 -2.6186e+00 +1.9576e+00
542 +5.164102839e+02 +5.164102839e+02 +5.997402839e+02 +5.997402839e+02 -1.3135e+00 -1.6840e+00 -1.0705e+00 +5.0298e+00 +2.7653e-01 -3.0103e+00 -1.7654e+00 +5.0896e-01 -8.1711e-01 +1.7070e+00 +4.5162e-01 -3.3849e+00 -2.2243e-01 -6.8969e-01 +2.7633e+00 -2.1744e+00 -3.4793e+00 -9.8952e-01 -1.7401e+00 +5.1543e+00
1673 +3.842170351e+02 +3.842170351e+02 +4.675470351e+02 +4.675470351e+02 -3.1375e+00 -3.0665e+00 +4.7093e+00 +6.0040e+00 +1.9727e+00 -4.3499e+00 -1.5110e+00 -7.2031e-01 -2.2386e-01 +3.4607e+00 +1.1157e+00 -2.4475e+00 +2.3580e+00 -4.0930e+00 +3.4598e+00 -5.8239e-01 +3.5145e-01 +1.7720e+00 +9.8909e-01 +4.5048e+00
3950 +2.201679135e+02 +2.201679135e+02 +3.034979135e+02 +3.034979135e+02 +2.0640e-01 -2.7709e+00 +6.1171e+00 +4.8846e+00 +1.9491e+00 -5.7781e-01 -1.9975e+00 -2.2727e+00 -1.8072e+00 +2.7653e+00 +1.1956e+00 -8.4229e-01 +1.2237e+00 -6.2692e+00 +3.5035e+00 -3.1118e+00 -4.4051e+00 +2.2016e+00 +3.9311e+00 +2.2751e+00
% function evaluation | noise-free fitness - Fopt (2.085600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.715093919e+03 +1.715093919e+03 +1.923653919e+03 +1.923653919e+03 +2.9484e+00 +1.2702e+00 -3.6659e+00 -2.1974e+00 +1.7797e-01 -2.2135e+00 +3.0722e+00 +4.7626e+00 +4.1908e+00 +2.2922e+00 +4.0592e+00 +2.1428e+00 -2.7812e+00 +1.9478e+00 +2.8881e+00 +4.5787e+00 +4.1832e+00 +5.2616e-01 -2.5274e+00 -3.4294e+00
4 +1.495619968e+03 +1.495619968e+03 +1.704179968e+03 +1.704179968e+03 -6.7967e-01 +2.4870e+00 -4.7687e+00 +3.3651e+00 -7.1047e-01 +3.7533e+00 +4.5508e+00 +8.4011e-01 -2.7861e-01 -2.0402e+00 -3.0128e+00 +2.4523e+00 +1.3540e+00 -4.1842e+00 +1.9374e+00 +1.9651e+00 -1.9454e+00 -4.3728e+00 +4.6285e+00 +2.9056e+00
12 +8.852300459e+02 +8.852300459e+02 +1.093790046e+03 +1.093790046e+03 +1.1801e+00 +4.8650e+00 +4.9912e+00 +6.0937e-01 -1.7949e+00 -1.3473e+00 +2.0677e+00 +3.5003e+00 -1.4960e+00 -1.7462e+00 -4.6513e+00 -2.6113e+00 -1.3305e-01 +2.9581e+00 +4.0989e+00 +1.8044e+00 -2.9846e+00 -3.5350e+00 -1.8903e-01 -3.1765e+00
226 +6.062532972e+02 +6.062532972e+02 +8.148132972e+02 +8.148132972e+02 +2.9499e+00 +1.2483e+00 +2.7434e+00 -2.5985e+00 +9.3350e-01 +4.8905e-01 -3.0510e+00 +8.3303e+00 -2.0003e+00 +7.7885e-01 -1.2416e+00 -1.8322e+00 -9.7607e+00 -1.3504e+00 -8.6274e-01 +3.0797e+00 -3.8002e+00 -3.3624e+00 +7.7226e-01 -5.6622e-01
911 +3.519781492e+02 +3.519781492e+02 +5.605381492e+02 +5.605381492e+02 +4.1086e+00 +6.2870e+00 -1.3202e+00 -2.4008e+00 -2.8306e+00 -3.5785e+00 +1.8227e+00 +2.4273e+00 -4.6663e+00 -7.7771e-01 -1.2436e+00 -1.2344e+00 -2.4104e+00 -3.7869e+00 +4.8690e+00 +8.8510e-01 -3.5646e-02 -1.0415e+00 +6.6811e-01 -2.3680e+00
1904 +2.043714855e+02 +2.043714855e+02 +4.129314855e+02 +4.129314855e+02 +2.5833e+00 +5.2761e+00 +2.7271e-01 -3.1831e-01 -1.0398e+00 -1.3883e+00 +1.8599e+00 +4.0307e-01 -2.3592e+00 -2.7354e+00 -1.4144e+00 -7.7211e-01 -2.5197e+00 -3.5775e+00 +1.6833e+00 -1.6585e+00 -2.6212e+00 -2.5586e+00 -2.1203e-01 -1.7103e+00
% function evaluation | noise-free fitness - Fopt (-1.345800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.268410411e+03 +2.268410411e+03 +2.133830411e+03 +2.133830411e+03 +4.3517e+00 -3.1181e-01 +3.8895e+00 -1.2840e+00 -3.5732e+00 +4.6822e+00 -2.8518e+00 -1.4399e+00 +1.5639e+00 +3.5381e+00 -2.6142e+00 +4.8348e+00 -9.2348e-01 -4.6242e+00 -2.0940e+00 -1.3405e+00 -4.3172e+00 -3.3633e+00 +4.9835e+00 -1.7485e+00
2 +8.071690122e+02 +8.071690122e+02 +6.725890122e+02 +6.725890122e+02 -2.3661e+00 -3.1187e+00 +2.1882e+00 +4.9913e+00 -2.4561e+00 +4.1133e+00 +1.3430e+00 -1.3617e+00 -1.5380e+00 +2.0997e+00 +1.6897e+00 -1.4580e+00 -1.6494e+00 -4.2768e+00 +2.6502e+00 -3.7316e+00 +8.3179e-01 -1.7622e+00 -3.5514e-01 -7.4688e-02
404 +6.262616067e+02 +6.262616067e+02 +4.916816067e+02 +4.916816067e+02 -4.7619e+00 +1.1456e+00 -1.6092e+00 -2.1173e+00 -3.1046e+00 +1.0279e+00 +2.4780e+00 -3.5767e+00 -4.1953e+00 +2.7837e+00 +3.8673e+00 -1.5322e+00 +7.2562e-01 -1.1827e-01 +2.6018e+00 +6.9446e-01 +2.7038e+00 +2.0779e+00 -6.9951e-01 -2.2815e+00
1041 +3.965464950e+02 +3.965464950e+02 +2.619664950e+02 +2.619664950e+02 -6.6364e+00 +1.8901e+00 +3.4050e+00 -2.4691e+00 -1.1225e+00 +2.4964e+00 +4.6419e-01 -2.8827e+00 -1.4934e+00 +4.2748e+00 +2.0091e+00 +3.5421e+00 +2.1390e+00 -1.9718e+00 +5.0636e-01 -2.9526e+00 -7.6859e-01 +5.0390e-01 -5.9843e-01 +1.1969e+00
2913 +2.459843006e+02 +2.459843006e+02 +1.114043006e+02 +1.114043006e+02 -4.8984e+00 +1.5433e+00 +6.3519e+00 -1.2514e+00 -2.9388e+00 +3.2362e+00 +3.5552e+00 -9.3328e-03 -5.4189e-01 +2.9860e+00 +4.1132e+00 +1.6986e+00 +2.5878e+00 -1.2713e+00 +9.4701e-01 -1.8964e+00 -5.2701e+00 -2.6129e-01 +4.3173e-01 -2.6817e+00
% function evaluation | noise-free fitness - Fopt (1.205900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.679575222e+02 +8.679575222e+02 +9.885475222e+02 +9.885475222e+02 -2.9460e-02 +2.3357e+00 -3.1403e+00 +3.2420e+00 +4.4479e+00 +2.6957e+00 +4.7826e+00 -2.0251e+00 -7.2566e-01 +4.1139e-01 -3.3738e-01 +3.3376e-01 +2.6930e+00 +2.6587e+00 -4.7983e+00 -1.0996e+00 -2.8331e+00 -7.9909e-01 -1.5292e+00 +1.2045e+00
219 +5.407483556e+02 +5.407483556e+02 +6.613383556e+02 +6.613383556e+02 -4.1664e+00 +1.4558e+00 -3.2196e+00 +2.0504e+00 +2.2764e+00 -6.1000e+00 +1.3141e+00 -2.4018e+00 +2.6038e+00 +3.9410e+00 +6.0657e+00 +2.1955e+00 -2.7316e+00 -5.3592e-01 -2.8447e+00 +1.5123e+00 +4.0555e-01 -3.6118e+00 +1.2151e+00 -3.0930e+00
737 +3.742926608e+02 +3.742926608e+02 +4.948826608e+02 +4.948826608e+02 -2.7555e-01 -6.9284e-01 -1.9266e+00 -6.6717e-01 +2.8655e+00 -4.1776e+00 +1.2915e+00 -6.3685e-01 -1.5393e+00 +4.0871e+00 +2.7261e+00 -7.5241e-01 -1.8692e+00 -4.4190e-01 -5.3240e+00 +4.5246e-01 +9.4575e-01 -3.1379e-01 -5.4260e-01 -1.6105e+00
2107 +2.441900675e+02 +2.441900675e+02 +3.647800675e+02 +3.647800675e+02 +1.6175e+00 -1.9530e+00 -2.1192e+00 +2.6406e+00 +2.8264e+00 -1.4490e+00 +2.4622e-01 -1.0958e+00 -1.3324e+00 +3.2562e+00 +2.3851e+00 -1.7237e+00 -1.0268e+00 -8.2148e-01 -1.2992e+00 -1.3772e+00 -7.3678e-01 -1.7010e+00 -7.2466e-01 -4.9005e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.667592907e+03 +1.667592907e+03 +2.667592907e+03 +2.667592907e+03 +2.9403e+00 -1.9588e+00 -1.3494e+00 +9.3853e-01 +2.1642e+00 +2.6883e+00 -2.3246e+00 -4.5630e+00 -3.1030e-01 -3.2614e+00 +2.3361e+00 +2.6683e+00 -2.4858e+00 -4.7636e+00 -1.0892e+00 +1.3490e-01 +3.6820e-01 +4.9947e+00 -3.0241e+00 +3.2821e+00
6 +1.115962961e+03 +1.115962961e+03 +2.115962961e+03 +2.115962961e+03 +4.3360e+00 -3.5821e+00 -2.1922e+00 +3.1678e+00 +1.2845e+00 +4.2864e+00 -7.3791e-01 +2.9240e+00 +1.9500e+00 +1.8920e+00 +3.8670e-01 -1.9084e+00 +6.2151e-01 +4.3986e+00 -4.7619e+00 -4.4559e+00 +8.1497e-01 +2.2083e+00 -3.6897e-01 -1.1062e+00
