% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
26422 +6.195195494e-01 +6.195195494e-01 +1.942951955e+01 +1.942951955e+01 -2.6253e-01 +1.8746e+00 -9.4580e-01 -7.5958e-02 +1.5313e+00 -3.2250e+00 +4.1089e-01 +4.5113e-01 +6.3648e-01 +2.6544e+00 -3.7346e+00 +3.8113e+00 +3.7141e+00 +5.3035e-02 -2.5543e+00 -2.8481e+00 -2.1417e+00 +3.3476e+00 +3.8465e-01 +1.0786e+00
30705 +3.714075693e-01 +3.714075693e-01 +1.918140757e+01 +1.918140757e+01 -2.3989e-01 +1.8445e+00 -8.7404e-01 +9.2466e-03 +1.6354e+00 -3.1861e+00 +2.7721e-01 +4.1070e-01 +4.0344e-01 +2.6987e+00 -3.8539e+00 +3.8157e+00 +3.8467e+00 +2.9976e-01 -2.5808e+00 -2.8921e+00 -1.7739e+00 +3.3994e+00 +4.9842e-01 +1.1948e+00
33802 +2.401951772e-01 +2.401951772e-01 +1.905019518e+01 +1.905019518e+01 -2.5477e-01 +1.8581e+00 -8.6307e-01 -5.0015e-02 +1.6352e+00 -3.1703e+00 +2.9918e-01 +4.1475e-01 +4.1111e-01 +2.6728e+00 -3.7891e+00 +3.8067e+00 +3.8345e+00 +2.4949e-01 -2.5497e+00 -2.8494e+00 -1.8695e+00 +3.3794e+00 +4.6225e-01 +1.1658e+00
36503 +1.319999227e-01 +1.319999227e-01 +1.894199992e+01 +1.894199992e+01 -2.0681e-01 +1.8037e+00 -8.6441e-01 -7.3882e-02 +1.6441e+00 -3.2019e+00 +2.4773e-01 +4.0975e-01 +4.2075e-01 +2.6750e+00 -3.7760e+00 +3.8383e+00 +3.8322e+00 +2.3363e-01 -2.5352e+00 -2.7975e+00 -1.8828e+00 +3.3501e+00 +4.6610e-01 +1.1825e+00
41107 +8.324755489e-02 +8.324755489e-02 +1.889324755e+01 +1.889324755e+01 -2.0879e-01 +1.7938e+00 -8.1574e-01 -1.2131e-02 +1.6648e+00 -3.2470e+00 +2.1118e-01 +3.7659e-01 +3.6404e-01 +2.6887e+00 -3.7668e+00 +3.8790e+00 +3.8109e+00 +2.4749e-01 -2.5352e+00 -2.7865e+00 -1.8762e+00 +3.3523e+00 +4.8214e-01 +1.1558e+00
43322 +5.695751503e-02 +5.695751503e-02 +1.886695752e+01 +1.886695752e+01 -2.1185e-01 +1.8068e+00 -8.4786e-01 -4.0891e-02 +1.6692e+00 -3.2136e+00 +2.4292e-01 +4.0168e-01 +4.0171e-01 +2.6926e+00 -3.7748e+00 +3.8368e+00 +3.8205e+00 +2.6099e-01 -2.5088e+00 -2.8151e+00 -1.8711e+00 +3.3676e+00 +4.9133e-01 +1.1577e+00
44244 +3.853863571e-02 +3.853863571e-02 +1.884853864e+01 +1.884853864e+01 -1.9672e-01 +1.7959e+00 -8.3130e-01 -5.0053e-02 +1.6611e+00 -3.2286e+00 +2.3603e-01 +3.9036e-01 +3.9582e-01 +2.6828e+00 -3.7626e+00 +3.8535e+00 +3.8082e+00 +2.3600e-01 -2.5329e+00 -2.8067e+00 -1.9019e+00 +3.3466e+00 +4.7316e-01 +1.1789e+00
48828 +2.475264954e-02 +2.475264954e-02 +1.883475265e+01 +1.883475265e+01 -1.9425e-01 +1.7853e+00 -8.2551e-01 -3.4402e-02 +1.6703e+00 -3.2360e+00 +2.1660e-01 +3.8381e-01 +3.7792e-01 +2.6848e+00 -3.7661e+00 +3.8664e+00 +3.8206e+00 +2.4683e-01 -2.5446e+00 -2.8009e+00 -1.8857e+00 +3.3425e+00 +4.8542e-01 +1.1769e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.104531484e+03 +1.104531484e+03 +1.377681484e+03 +1.377681484e+03 -9.7903e-01 -6.5469e-01 -8.4737e-02 +4.7206e+00 +4.5337e+00 +3.3163e+00 +1.6544e+00 +2.9293e+00 +2.5651e+00 -2.8910e+00 +2.2246e+00 +1.3167e+00 +2.9541e+00 +2.4486e+00 -1.2948e+00 -1.6450e+00 +1.9414e+00 +2.3660e+00 -2.8007e+00 -2.5153e+00
3 +4.823316575e+02 +4.823316575e+02 +7.554816575e+02 +7.554816575e+02 +2.8115e+00 +1.9294e+00 +4.2081e+00 +1.0293e+00 -1.5022e+00 +4.2148e+00 +1.3053e+00 +2.3623e+00 -4.0127e-01 -2.2269e+00 +3.2449e-01 -2.8253e+00 -3.9700e+00 +4.7752e+00 -1.4150e+00 -2.6118e+00 -3.0101e-01 +7.7318e-01 -3.6085e+00 +2.5310e+00
4 +2.610280693e+02 +2.610280693e+02 +5.341780693e+02 +5.341780693e+02 +2.5291e+00 -8.7271e-01 +5.0154e-01 -1.7917e+00 +6.2001e-01 -2.6058e+00 -4.9897e+00 -4.5139e+00 -4.9014e+00 -8.2803e-01 +4.8355e+00 +1.9710e+00 +7.9910e-01 -2.4471e+00 +4.5675e+00 -3.5944e+00 +3.9638e+00 -4.0520e+00 -1.1572e+00 +3.4683e+00
12 +1.632948596e+02 +1.632948596e+02 +4.364448596e+02 +4.364448596e+02 +1.8145e+00 +3.2241e+00 +2.5346e+00 -3.1746e+00 +2.7045e+00 -2.1795e+00 -3.1809e+00 -3.7365e-01 +1.8850e+00 -2.6411e+00 -4.7730e-01 +3.1842e+00 -2.1604e+00 -1.0781e+00 -5.6145e-01 +4.3877e-01 +8.3959e-01 -3.8202e+00 +3.2341e+00 -2.4197e+00
22 +1.537583283e+02 +1.537583283e+02 +4.269083283e+02 +4.269083283e+02 -1.4884e-02 -5.3575e-01 +2.3736e+00 +2.0072e-02 +2.5959e+00 -1.3044e+00 -4.0365e+00 -8.1402e-01 -2.6910e+00 -4.5288e+00 -1.1780e-01 +3.8712e+00 +4.1917e+00 -3.0868e-01 -6.1277e-02 -4.0340e+00 -2.1836e+00 -2.4096e+00 -2.7316e+00 -2.6613e+00
