% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
3230 +3.490667313e+00 +3.490667313e+00 +2.118706673e+02 +2.118706673e+02 -1.2359e+00 -1.0704e+00 +3.7441e-01 -7.5477e-01 +9.8171e-01 +9.8710e-01 -8.2773e-02 +1.4838e+00 -9.4632e-01 +1.8464e+00 +3.3751e-01 +1.7640e+00 -1.7093e+00 -1.6992e+00 +2.6874e-01 -2.5109e+00 +7.4556e-01 +2.2184e+00 +1.9826e+00 +2.1682e+00
% function evaluation | noise-free fitness - Fopt (-1.449600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.911942502e+05 +1.911942502e+05 +1.910492902e+05 +1.910492902e+05 -1.5066e+00 +1.0627e+00 +4.1438e+00 +1.4244e+00 +2.1049e+00 +8.6388e-01 -4.6411e+00 +2.3380e+00 +2.5785e+00 -3.8432e-03 +1.5513e-01 -4.4331e-01 -1.1395e+00 -1.9221e+00 +2.0748e+00 -8.9057e-01 +4.8413e+00 -3.4180e-01 -1.7000e+00 +5.7367e-01
3 +8.593902014e+04 +8.593902014e+04 +8.579406014e+04 +8.579406014e+04 +1.8204e+00 +8.5106e-01 +3.5289e+00 +2.6625e+00 -3.4173e+00 +8.2860e-01 -3.8111e+00 -4.0857e+00 +1.7299e+00 +3.1397e+00 +3.3145e+00 +2.9510e+00 -5.5508e-01 -7.3898e-01 -1.5328e+00 +3.1937e+00 +3.8503e+00 -1.0867e+00 +9.8955e-01 -1.3639e+00
33 +4.744609040e+04 +4.744609040e+04 +4.730113040e+04 +4.730113040e+04 -1.5589e+00 +4.4388e-02 -5.7589e-01 -1.4976e+00 -1.3909e+00 -1.1375e+00 -2.9094e+00 -9.0775e-01 -4.0378e+00 -2.8905e+00 +5.2331e-01 -1.4372e+00 -6.4644e-01 -1.2598e+00 +4.0806e+00 +3.0200e+00 -3.3300e+00 -2.7952e+00 -4.3657e-01 +4.8091e-01
412 +3.704707450e+04 +3.704707450e+04 +3.690211450e+04 +3.690211450e+04 -1.2763e+00 +2.0949e-02 +3.1141e+00 +1.6484e+00 -9.1481e-01 +8.2276e-01 -2.7712e-01 +1.3305e+00 -6.4117e+00 +7.8679e-02 +5.3601e+00 +2.7041e+00 +3.1348e+00 +1.2349e+00 +2.0223e+00 +3.5449e+00 -1.5682e+00 -1.4862e+00 +1.9645e+00 +1.1268e-01
609 +1.220057405e+04 +1.220057405e+04 +1.205561405e+04 +1.205561405e+04 +2.6499e+00 +1.5724e+00 +1.8265e+00 +1.9105e-01 -2.1504e+00 +5.7846e+00 -2.4985e-01 +3.5416e+00 -1.0447e+00 +1.1053e+00 +6.7935e-01 +9.9760e-01 +1.4098e+00 +3.9584e-01 -3.5103e-01 +6.3912e-01 -3.1243e+00 -2.2420e-01 +2.9249e+00 -1.9038e+00
1269 +9.211323558e+03 +9.211323558e+03 +9.066363558e+03 +9.066363558e+03 +2.3868e+00 -5.4342e-01 -2.4630e+00 -7.4473e-01 -1.3047e+00 +3.5841e+00 +3.8190e+00 +3.5464e-01 -2.2823e+00 +3.2956e+00 -6.2857e-01 +2.7117e+00 +2.3482e+00 +2.6369e+00 +3.5603e-01 +4.4519e-01 -3.1976e+00 +2.0282e-01 +6.4122e-01 -2.0910e+00
1502 +1.693341471e+03 +1.693341471e+03 +1.548381471e+03 +1.548381471e+03 +1.2748e+00 +1.5811e-01 -4.5364e-01 -8.8305e-01 -1.7410e+00 +2.4925e+00 -7.7245e-01 -1.4400e+00 -2.9918e+00 +2.1311e+00 +1.7121e+00 +1.5898e+00 +2.0321e+00 -6.8703e-01 +1.1483e+00 +1.9824e+00 -1.4838e+00 -1.8102e+00 +7.2144e-01 -2.0478e+00
1901 +1.409425102e+03 +1.409425102e+03 +1.264465102e+03 +1.264465102e+03 +4.2671e-01 +5.0183e-02 +1.0436e+00 -2.2976e+00 -1.4064e+00 +2.6725e+00 -1.0933e+00 -1.3316e+00 -3.5679e+00 +2.6705e+00 +2.4141e+00 +8.0494e-01 +2.0315e+00 -2.6833e-01 +8.2657e-01 +2.1851e+00 -1.8455e+00 -1.7423e+00 +9.2465e-01 -1.6414e+00
2563 +5.976134582e+02 +5.976134582e+02 +4.526534582e+02 +4.526534582e+02 +2.3192e+00 -9.4232e-01 -2.5867e+00 -4.8744e-01 +6.0086e-01 +2.2340e-01 +7.0533e-01 -1.3729e-01 -2.6207e+00 -1.3658e+00 +2.3670e+00 +1.5290e+00 +2.5065e+00 +2.8748e-01 +5.2362e-01 +1.8685e+00 -1.3592e+00 -1.9664e+00 +4.9497e-01 -2.6382e+00
2810 +2.470377939e+02 +2.470377939e+02 +1.020777939e+02 +1.020777939e+02 +1.3875e+00 -2.8309e+00 -1.2379e+00 -7.7906e-01 +1.6277e-01 +2.1278e+00 +6.6688e-01 +4.5382e-02 -1.7840e+00 -2.7301e-01 +2.8551e+00 -5.3321e-02 +1.5945e+00 -1.0915e-01 +1.5093e+00 +1.6317e+00 -1.6340e+00 -2.5254e+00 +1.1876e+00 -2.5616e+00
2983 +3.740732286e+00 +3.740732286e+00 -1.412192677e+02 -1.412192677e+02 -4.0722e-01 -1.4764e+00 -1.1531e+00 -3.9519e-01 -5.4671e-01 +2.5853e+00 -1.1781e+00 +1.7460e+00 -6.7771e-01 +5.1869e-01 +7.3721e-01 +7.0629e-02 +2.0054e+00 +5.0561e-01 +1.0824e+00 +1.3515e+00 -1.3275e+00 -9.4300e-01 +9.2919e-01 -2.4515e+00
% function evaluation | noise-free fitness - Fopt (-6.300000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
