% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
322 +2.271798508e+01 +2.271798508e+01 +5.989798508e+01 +5.989798508e+01 -3.5315e+00 +1.9397e-02 +1.8747e+00 +2.1021e+00 -3.1939e+00 -3.2032e+00 -6.2576e-01 +2.9964e-03 +9.7184e-01 +9.4478e-01 +1.9799e+00 -6.7682e-01 +1.4340e+00 +4.1703e-01 +1.4643e+00 +1.3178e+00 -5.6536e-01 -8.1758e-01 -1.5210e+00 -1.8101e-01
841 +1.455671369e+01 +1.455671369e+01 +5.173671369e+01 +5.173671369e+01 -8.2752e-01 +1.0914e+00 -9.2834e-01 +2.0191e+00 -3.2319e+00 -1.7437e+00 +4.1523e-01 -2.6147e+00 +1.1631e+00 +1.3232e+00 +2.0651e+00 -3.4572e+00 +1.9267e+00 +6.8180e-01 +1.6970e+00 +7.7293e-01 -1.8280e-01 -1.0993e+00 -2.3107e+00 +1.1168e+00
2359 +9.165484760e+00 +9.165484760e+00 +4.634548476e+01 +4.634548476e+01 -1.7269e+00 +1.5140e+00 +3.1522e+00 +1.4163e+00 -3.2860e+00 -1.7795e+00 +8.7365e-01 -2.3974e+00 +2.5566e+00 +1.5167e+00 +2.0060e+00 -3.1104e+00 +1.4104e+00 +7.1335e-01 +1.7121e+00 +9.8429e-01 -4.2340e-01 -5.4189e-01 -2.3081e+00 +2.2117e+00
5262 +6.277907513e+00 +6.277907513e+00 +4.345790751e+01 +4.345790751e+01 -1.7631e+00 +1.2712e+00 +3.1526e+00 +1.4670e+00 -3.0310e+00 -1.9704e+00 +9.0845e-01 -2.4957e+00 +2.2428e+00 +1.7153e+00 +2.4298e+00 -3.2127e+00 +8.5837e-01 +8.4259e-01 +1.2903e+00 +8.6642e-01 -5.8439e-01 -6.1313e-01 -1.8638e+00 +2.3754e+00
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.186228400e+01 +7.186228400e+01 -7.603771600e+01 -7.603771600e+01 +2.4146e+00 -9.5004e-01 +3.7307e+00 -2.4280e+00 -3.0796e+00 +4.8830e+00 +1.8185e+00 -7.2887e-01 +2.3379e+00 +4.7850e-01 -3.4258e+00 +4.4837e+00 -8.4075e-01 -2.4052e-01 +4.9958e+00 +3.3193e+00 -1.6967e+00 -3.0539e+00 +4.7967e+00 +7.4287e-01
4 +5.684921940e+01 +5.684921940e+01 -9.105078060e+01 -9.105078060e+01 -1.3004e+00 -4.4009e+00 -2.5898e-01 -2.7430e+00 -1.3995e+00 -3.0149e+00 -1.3245e+00 -1.0275e+00 -3.5791e+00 -3.9809e+00 -4.9267e+00 +4.6993e+00 -8.4503e-02 -2.4337e+00 +2.3818e-01 +1.0200e+00 +1.4178e+00 +3.4522e+00 +2.1336e+00 +2.0626e+00
213 +3.842561648e+01 +3.842561648e+01 -1.094743835e+02 -1.094743835e+02 +0.0000e+00 +5.0000e+00 +9.6833e-01 +2.8681e+00 -3.0747e+00 +1.3074e+00 -1.1129e+00 -1.4908e-01 -1.6553e+00 +1.6988e+00 +1.8431e+00 +3.7139e+00 -7.1399e-01 -3.1041e+00 +9.2400e-01 -1.8220e+00 -7.8733e-02 +5.8921e-01 -4.1983e+00 +1.5064e+00
1000 +2.396484465e+01 +2.396484465e+01 -1.239351554e+02 -1.239351554e+02 +7.0228e-01 -6.9299e-01 +2.2554e+00 -1.1054e+00 -3.0501e+00 +2.0091e+00 -9.8159e-01 -9.7284e-02 -1.5913e+00 +1.1988e-01 -9.1458e-01 +1.1653e+00 +1.3827e+00 -1.2782e+00 -9.0881e-01 -4.6287e+00 +1.4514e+00 -8.2507e-01 -3.5673e+00 +3.5911e+00
5399 +1.404647019e+01 +1.404647019e+01 -1.338535298e+02 -1.338535298e+02 +1.7925e+00 -3.4409e-01 +1.1945e+00 -1.4306e+00 -4.6140e+00 +1.0953e+00 -1.1755e+00 +4.3475e-01 -2.5742e+00 -1.1962e-01 +7.2289e-01 +3.8249e+00 +1.3221e+00 -2.6204e+00 -3.4284e-01 -1.2067e+00 -1.1297e-01 -8.0417e-01 -2.6503e+00 +4.3884e+00
